image_name,image_idx,categories,attributes
D:/HDRplus_dataset/train/input/0006_20160726_142655_865.jpg,0,rainforest#beer_garden#swimming_hole#hot_spring#raf,no horizon#natural light#open area#foliage#trees#leaves#vegetation#natural#cloth#shrubber
D:/HDRplus_dataset/train/input/0032_20160705_172236_686.jpg,1,waiting_room#dorm_room#artists_loft#beauty_salon#art_galler,enclosed area#no horizon#man-made#cloth#reading#wood#indoor lighting#dry#plastic#natural ligh
D:/HDRplus_dataset/train/input/0039_20141005_130438_317.jpg,2,forest/broadleaf#sky#tree_house#botanical_garden#underwater/ocean_dee,natural light#no horizon#open area#trees#natural#foliage#man-made#leaves#vegetation#vertical component
D:/HDRplus_dataset/train/input/0039_20141005_132626_955.jpg,3,aqueduct#church/indoor#arch#alcove#museum/outdoo,man-made#natural light#no horizon#open area#sunny#vertical components#touring#rock#dry#climbin
D:/HDRplus_dataset/train/input/0039_20141005_133430_484.jpg,4,courtyard#zen_garden#driveway#japanese_garden#picnic_are,natural light#open area#foliage#trees#man-made#leaves#no horizon#vegetation#shrubbery#sunn
D:/HDRplus_dataset/train/input/0039_20141005_133625_630.jpg,5,ruin#kasbah#landfill#archaelogical_excavation#slu,natural light#man-made#open area#no horizon#sunny#dry#dirt#aged#trees#rugged scen
D:/HDRplus_dataset/train/input/0039_20141005_140151_779.jpg,6,fishpond#pond#lake/natural#swimming_hole#mars,no horizon#natural light#open area#moist#natural#still water#swimming#boating#vegetation#man-mad
D:/HDRplus_dataset/train/input/0039_20141005_140345_545.jpg,7,atrium/public#greenhouse/indoor#greenhouse/outdoor#shopping_mall/indoor#amusement_par,no horizon#man-made#natural light#leaves#vegetation#foliage#metal#trees#enclosed area#vertical component
D:/HDRplus_dataset/train/input/0039_20141005_143527_930.jpg,8,mosque/outdoor#courthouse#mausoleum#oast_house#church/outdoo,open area#natural light#man-made#sunny#grass#vegetation#clouds#trees#vertical components#tourin
D:/HDRplus_dataset/train/input/0039_20141005_144507_521.jpg,9,courthouse#porch#mausoleum#library/outdoor#cemeter,man-made#no horizon#natural light#trees#vertical components#foliage#open area#leaves#vegetation#semi-enclosed are
D:/HDRplus_dataset/train/input/0039_20141005_144713_643.jpg,10,cemetery#mausoleum#lawn#forest/broadleaf#botanical_garde,trees#natural light#open area#foliage#vegetation#leaves#man-made#no horizon#grass#natura
D:/HDRplus_dataset/train/input/0039_20141005_162501_552.jpg,11,train_interior#amusement_park#bus_interior#beauty_salon#ticket_boot,no horizon#man-made#enclosed area#cloth#natural light#indoor lighting#socializing#wood#glass#semi-enclosed are
D:/HDRplus_dataset/train/input/0039_20141005_163731_148.jpg,12,basement#pet_shop#throne_room#beauty_salon#flea_market/indoo,no horizon#man-made#enclosed area#wood#indoor lighting#cluttered space#cloth#socializing#glass#shoppin
D:/HDRplus_dataset/train/input/0039_20141005_164836_511.jpg,13,gift_shop#flea_market/indoor#jewelry_shop#toyshop#pet_sho,enclosed area#no horizon#indoor lighting#man-made#shopping#cluttered space#wood#plastic#cloth#socializin
D:/HDRplus_dataset/train/input/0039_20141005_165418_721.jpg,14,jewelry_shop#flea_market/indoor#gift_shop#hardware_store#bazaar/indoo,no horizon#man-made#enclosed area#cluttered space#shopping#indoor lighting#vertical components#aged#working#clot
D:/HDRplus_dataset/train/input/0039_20141005_193418_549.jpg,15,beer_hall#food_court#banquet_hall#dining_hall#bowling_alle,enclosed area#indoor lighting#no horizon#man-made#socializing#cloth#congregating#eating#working#gloss
D:/HDRplus_dataset/train/input/0039_20141006_101759_294.jpg,16,watering_hole#tundra#desert_road#desert/sand#corra,natural light#open area#sunny#dry#dirt#far-away horizon#natural#rugged scene#hiking#war
D:/HDRplus_dataset/train/input/0039_20141006_102026_258.jpg,17,raft#gas_station#golf_course#boat_deck#rice_padd,natural light#open area#man-made#sunny#far-away horizon#grass#cloth#vegetation#warm#natura
D:/HDRplus_dataset/train/input/0039_20141006_103802_083.jpg,18,zen_garden#archaelogical_excavation#desert/sand#bullring#sandbo,no horizon#natural light#man-made#dry#open area#sunny#sand#dirt#warm#dirt
D:/HDRplus_dataset/train/input/0039_20141006_105442_677.jpg,19,golf_course#watering_hole#corral#racecourse#natural_history_museu,natural light#open area#man-made#sunny#grass#trees#warm#no horizon#far-away horizon#dr
D:/HDRplus_dataset/train/input/0039_20141006_105528_215.jpg,20,picnic_area#corral#golf_course#watering_hole#racecours,natural light#open area#man-made#sunny#grass#far-away horizon#trees#clouds#warm#dr
D:/HDRplus_dataset/train/input/0039_20141006_105601_560.jpg,21,golf_course#watering_hole#rice_paddy#gas_station#playgroun,natural light#man-made#open area#grass#sunny#trees#no horizon#far-away horizon#vegetation#foliag
D:/HDRplus_dataset/train/input/0039_20141006_105727_140.jpg,22,gas_station#picnic_area#beach_house#porch#promenad,natural light#man-made#open area#sunny#trees#foliage#warm#far-away horizon#vegetation#leave
D:/HDRplus_dataset/train/input/0039_20141006_110123_146.jpg,23,golf_course#badlands#watering_hole#desert/vegetation#rice_padd,natural light#open area#sunny#man-made#far-away horizon#grass#clouds#vegetation#dry#tree
D:/HDRplus_dataset/train/input/0039_20141006_110205_172.jpg,24,volleyball_court/outdoor#watering_hole#golf_course#desert/vegetation#oast_hous,natural light#open area#sunny#man-made#cloth#grass#far-away horizon#warm#vegetation#tree
D:/HDRplus_dataset/train/input/0039_20141006_110442_472.jpg,25,desert/vegetation#watering_hole#desert/sand#natural_history_museum#field/wil,natural light#open area#sunny#dry#man-made#warm#clouds#natural#far-away horizon#dir
D:/HDRplus_dataset/train/input/0039_20141006_113515_617.jpg,26,bullring#corral#arena/rodeo#stable#kennel/outdoo,natural light#man-made#open area#no horizon#dry#sunny#dirt#warm#sand#clot
D:/HDRplus_dataset/train/input/0039_20141006_113639_062.jpg,27,desert/sand#crevasse#archaelogical_excavation#ice_floe#trenc,natural light#open area#no horizon#dry#man-made#dirt#sunny#sand#warm#rugged scen
D:/HDRplus_dataset/train/input/0039_20141006_113748_822.jpg,28,sandbox#playground#trench#bullring#archaelogical_excavatio,natural light#man-made#open area#no horizon#sunny#dry#dirt#warm#cloth#rugged scen
D:/HDRplus_dataset/train/input/0039_20141006_122335_035.jpg,29,swimming_hole#japanese_garden#fishpond#canal/natural#watering_hol,natural light#open area#foliage#trees#vegetation#leaves#no horizon#man-made#natural#sunn
D:/HDRplus_dataset/train/input/0039_20141006_125139_569.jpg,30,picnic_area#beer_garden#tree_farm#rainforest#par,natural light#foliage#trees#open area#leaves#vegetation#no horizon#cloth#man-made#shrubber
D:/HDRplus_dataset/train/input/0039_20141006_135354_438.jpg,31,dam#rope_bridge#boardwalk#aqueduct#highwa,natural light#open area#man-made#foliage#vegetation#leaves#trees#sunny#railing#no horizo
D:/HDRplus_dataset/train/input/0039_20141006_135436_066.jpg,32,badlands#beach_house#water_park#desert/vegetation#tree_far,natural light#open area#man-made#sunny#foliage#vegetation#trees#no horizon#leaves#cloud
D:/HDRplus_dataset/train/input/0039_20141006_152029_108.jpg,33,corral#kennel/outdoor#stable#arena/rodeo#bullrin,natural light#no horizon#man-made#open area#trees#fencing#dirt#dirty#foliage#railin
D:/HDRplus_dataset/train/input/0039_20141006_153408_319.jpg,34,rainforest#forest/broadleaf#forest_path#bamboo_forest#picnic_are,natural light#trees#open area#no horizon#foliage#leaves#natural#vegetation#camping#dir
D:/HDRplus_dataset/train/input/0039_20141006_153624_837.jpg,35,lawn#forest_path#golf_course#archaelogical_excavation#trenc,natural light#open area#no horizon#trees#vegetation#foliage#grass#leaves#natural#campin
D:/HDRplus_dataset/train/input/0039_20141006_154144_532.jpg,36,archaelogical_excavation#picnic_area#campsite#trench#excavatio,natural light#open area#trees#foliage#leaves#vegetation#dirt#no horizon#natural#sunn
D:/HDRplus_dataset/train/input/0039_20141006_155258_959.jpg,37,tree_house#natural_history_museum#rope_bridge#boardwalk#par,man-made#no horizon#natural light#trees#foliage#leaves#open area#vegetation#vertical components#meta
D:/HDRplus_dataset/train/input/0039_20141006_155340_624.jpg,38,tree_house#rope_bridge#rainforest#amusement_park#amphitheate,natural light#man-made#trees#no horizon#foliage#leaves#vegetation#open area#metal#gras
D:/HDRplus_dataset/train/input/0039_20141006_160827_170.jpg,39,fishpond#swimming_hole#creek#pond#hot_sprin,no horizon#natural light#open area#moist#still water#natural#foliage#trees#swimming#vegetatio
D:/HDRplus_dataset/train/input/0039_20141006_162509_038.jpg,40,underwater/ocean_deep#crevasse#archaelogical_excavation#igloo#trenc,no horizon#natural light#open area#dry#dirt#dirty#man-made#digging#aged#san
D:/HDRplus_dataset/train/input/0039_20141006_162720_568.jpg,41,crevasse#underwater/ocean_deep#ice_floe#volcano#glacie,no horizon#natural light#open area#natural#dry#dirt#rugged scene#dirty#cold#sno
D:/HDRplus_dataset/train/input/0039_20141006_163016_653.jpg,42,archaelogical_excavation#zen_garden#desert/vegetation#trench#slu,natural light#open area#trees#no horizon#foliage#dirt#dry#leaves#man-made#sunn
