image_name,image_idx,categories,attributes
D:/fivekdataset_big/input/train/a0001-jmac_DSC1459.tif,0,butte#canyon#desert/sand#desert/vegetation#badland,natural light#open area#rugged scene#dry#natural#rock#climbing#dirt#sunny#hikin
D:/fivekdataset_big/input/train/a0002-dgw_005.tif,1,nursery#jail_cell#dressing_room#catacomb#ball_pi,no horizon#enclosed area#cloth#man-made#dry#natural light#plastic#scary#cold#soothin
D:/fivekdataset_big/input/train/a0003-NKIM_MG_8178.tif,2,street#alley#jail_cell#crosswalk#embass,man-made#natural light#open area#no horizon#driving#asphalt#biking#transporting#pavement#roc
D:/fivekdataset_big/input/train/a0004-jmac_MG_1384.tif,3,fishpond#catacomb#underwater/ocean_deep#pond#ice_flo,no horizon#natural#moist#natural light#open area#still water#boating#swimming#diving#soothin
D:/fivekdataset_big/input/train/a0005-jn_2007_05_10__564.tif,4,catacomb#courtyard#embassy#kasbah#medin,man-made#natural light#open area#no horizon#vertical components#brick#aged#clouds#touring#roc
D:/fivekdataset_big/input/train/a0006-IMG_2787.tif,5,fishpond#swimming_hole#pond#watering_hole#mars,no horizon#natural#natural light#moist#open area#boating#swimming#still water#diving#ocea
D:/fivekdataset_big/input/train/a0007-IMG_2480.tif,6,embassy#fountain#balcony/exterior#courthouse#fire_escap,man-made#no horizon#natural light#enclosed area#open area#railing#vertical components#spectating#aged#bric
D:/fivekdataset_big/input/train/a0008-WP_CRW_3959.tif,7,catacomb#jail_cell#stage/indoor#beauty_salon#burial_chambe,no horizon#enclosed area#man-made#cloth#natural light#dry#symmetrical#scary#indoor lighting#medical activit
D:/fivekdataset_big/input/train/a0009-kme_372.tif,8,burial_chamber#catacomb#church/indoor#alcove#elevator/doo,no horizon#enclosed area#man-made#praying#aged#vertical components#symmetrical#scary#rock#marbl
D:/fivekdataset_big/input/train/a0010-jmac_MG_4807.tif,9,sky#rainforest#forest/broadleaf#swamp#bamboo_fores,open area#natural light#clouds#natural#trees#foliage#man-made#vegetation#vertical components#leave
D:/fivekdataset_big/input/train/a0011-DSC_0082.tif,10,badlands#desert/sand#desert/vegetation#catacomb#volcan,natural#open area#natural light#rugged scene#dry#dirt#hiking#far-away horizon#no horizon#climbin
D:/fivekdataset_big/input/train/a0012-kme_143.tif,11,skyscraper#embassy#downtown#tower#office_buildin,man-made#open area#natural light#vertical components#no horizon#driving#asphalt#clouds#brick#bikin
D:/fivekdataset_big/input/train/a0013-MB_20030906_001.tif,12,playground#gas_station#highway#airfield#drivewa,natural light#no horizon#man-made#open area#grass#trees#vegetation#foliage#driving#asphal
D:/fivekdataset_big/input/train/a0014-WP_CRW_6320.tif,13,catacomb#jail_cell#stage/indoor#burial_chamber#arena/performanc,no horizon#man-made#dry#natural light#enclosed area#cloth#open area#spectating#aged#competin
D:/fivekdataset_big/input/train/a0015-DSC_0081.tif,14,sandbox#volleyball_court/outdoor#desert/sand#ice_floe#iglo,natural light#open area#no horizon#man-made#dry#far-away horizon#cloth#sand#sunny#war
D:/fivekdataset_big/input/train/a0016-jmac_MG_0795.tif,15,driveway#inn/outdoor#manufactured_home#garage/outdoor#pati,man-made#no horizon#natural light#open area#shingles#trees#glass#foliage#wood#pavemen
D:/fivekdataset_big/input/train/a0017-050710_031618__MG_3496.tif,16,forest/broadleaf#swamp#rainforest#picnic_area#forest_pat,trees#natural light#foliage#vegetation#no horizon#open area#leaves#natural#camping#gras
D:/fivekdataset_big/input/train/a0018-kme_234.tif,17,badlands#canyon#catacomb#volcano#butt,natural#open area#rugged scene#natural light#far-away horizon#dry#hiking#climbing#dirt#no horizo
D:/fivekdataset_big/input/train/a0019-jmac_MG_0653.tif,18,elevator_shaft#jail_cell#basement#attic#burial_chambe,no horizon#enclosed area#man-made#indoor lighting#metal#aged#wood#competing#using tools#scar
D:/fivekdataset_big/input/train/a0020-jmac_MG_6225.tif,19,rainforest#valley#mountain#swimming_hole#forest/broadlea,open area#natural light#natural#vegetation#foliage#leaves#trees#hiking#moist#rugged scen
D:/fivekdataset_big/input/train/a0021-07-11-28-at-09h22m57s-_MG_7427.tif,20,ruin#kasbah#mausoleum#catacomb#burial_chambe,man-made#natural light#open area#aged#grass#sunny#rock#clouds#dry#vegetatio
D:/fivekdataset_big/input/train/a0022-IMG_2380.tif,21,jail_cell#movie_theater/indoor#auditorium#locker_room#ballroo,no horizon#man-made#enclosed area#indoor lighting#spectating#congregating#horizontal components#competing#natural light#sport
D:/fivekdataset_big/input/train/a0023-07-06-02-at-15h06m48-s_MG_1489.tif,22,jail_cell#bank_vault#server_room#elevator_shaft#elevator/doo,no horizon#enclosed area#man-made#indoor lighting#cloth#working#metal#vertical components#using tools#age
D:/fivekdataset_big/input/train/a0024-_DSC8932.tif,23,junkyard#parking_lot#street#gas_station#auto_showroo,man-made#natural light#no horizon#open area#transporting#driving#metal#asphalt#glossy#matt
D:/fivekdataset_big/input/train/a0025-kme_298.tif,24,courtyard#aqueduct#medina#arch#viaduc,man-made#no horizon#natural light#open area#vertical components#semi-enclosed area#dry#leaves#foliage#vegetatio
D:/fivekdataset_big/input/train/a0026-kme_391.tif,25,elevator_shaft#catacomb#corridor#subway_station/platform#burial_chambe,no horizon#man-made#enclosed area#indoor lighting#biking#symmetrical#driving#asphalt#pavement#horizontal component
D:/fivekdataset_big/input/train/a0027-IMG_3964.tif,26,cemetery#igloo#kennel/outdoor#lawn#veterinarians_offic,no horizon#natural light#open area#grass#man-made#foliage#vegetation#trees#leaves#clot
D:/fivekdataset_big/input/train/a0028-_DSC0032.tif,27,desert/sand#crevasse#tundra#catacomb#aquariu,no horizon#natural light#open area#natural#dry#rugged scene#climbing#dirt#hiking#roc
D:/fivekdataset_big/input/train/a0029-jmac_DSC3974.tif,28,church/outdoor#courthouse#tower#mosque/outdoor#embass,man-made#natural light#vertical components#open area#no horizon#touring#praying#clouds#sunny#symmetrica
D:/fivekdataset_big/input/train/a0030-_MG_7844.tif,29,courtyard#plaza#embassy#motel#jail_cel,man-made#open area#natural light#vertical components#no horizon#sunny#clouds#far-away horizon#horizontal components#asphal
D:/fivekdataset_big/input/train/a0031-WP_CRW_0736.tif,30,martial_arts_gym#bowling_alley#subway_station/platform#parking_garage/indoor#boxing_rin,no horizon#enclosed area#man-made#cloth#indoor lighting#competing#sports#exercise#playing#trainin
D:/fivekdataset_big/input/train/a0032-jmac_MG_0266.tif,31,industrial_area#jail_cell#loading_dock#beach_house#hangar/outdoo,man-made#open area#natural light#driving#clouds#vertical components#asphalt#pavement#no horizon#bikin
D:/fivekdataset_big/input/train/a0033-KE_-2590.tif,32,jail_cell#archive#bookstore#library/indoor#dorm_roo,no horizon#enclosed area#man-made#cloth#wood#reading#indoor lighting#working#glass#pape
D:/fivekdataset_big/input/train/a0034-LSYD4O2202.tif,33,forest/broadleaf#tree_farm#forest_path#rainforest#forest_roa,natural#foliage#trees#leaves#vegetation#open area#natural light#no horizon#camping#hikin
D:/fivekdataset_big/input/train/a0035-dgw_048.tif,34,parking_garage/outdoor#train_station/platform#downtown#industrial_area#subway_station/platfor,man-made#no horizon#natural light#metal#vertical components#open area#transporting#enclosed area#indoor lighting#rust
D:/fivekdataset_big/input/train/a0036-jn_2007_05_05__183.tif,35,canal/urban#promenade#mosque/outdoor#moat/water#lighthous,man-made#open area#natural light#clouds#far-away horizon#boating#sunny#touring#vertical components#swimmin
D:/fivekdataset_big/input/train/a0037-jmacAlgarve_Sagres_07.tif,36,mausoleum#desert/sand#hangar/outdoor#igloo#lighthous,open area#man-made#natural light#far-away horizon#dry#clouds#sunny#no horizon#natural#roc
D:/fivekdataset_big/input/train/a0038-MB_070908_135.tif,37,street#playground#driveway#crosswalk#residential_neighborhoo,natural light#open area#no horizon#man-made#cloth#driving#pavement#asphalt#trees#bikin
D:/fivekdataset_big/input/train/a0039-jmac_DSC3406.tif,38,catacomb#burial_chamber#alcove#cemetery#jail_cel,no horizon#man-made#enclosed area#aged#dry#scary#rock#natural light#praying#natura
D:/fivekdataset_big/input/train/a0040-_DSC5693.tif,39,embassy#parking_garage/outdoor#office_building#skyscraper#hotel/outdoo,man-made#open area#natural light#vertical components#sunny#clouds#driving#asphalt#horizontal components#no horizo
D:/fivekdataset_big/input/train/a0041-IMG_4972.tif,40,catacomb#aquarium#underwater/ocean_deep#igloo#discothequ,no horizon#natural#enclosed area#foliage#natural light#vegetation#scary#cloth#trees#dirt
D:/fivekdataset_big/input/train/a0042-060813_155838__MG_6361.tif,41,catacomb#grotto#archaelogical_excavation#trench#badland,no horizon#natural light#natural#rugged scene#open area#dry#rock#dirt#sunny#dirt
D:/fivekdataset_big/input/train/a0043-07-11-27-at-12h09m46s-_MG_7307.tif,42,elevator_shaft#burial_chamber#catacomb#staircase#atti,enclosed area#no horizon#man-made#indoor lighting#praying#metal#symmetrical#vertical components#aged#rust
D:/fivekdataset_big/input/train/a0044-JI2E0511.tif,43,sky#underwater/ocean_deep#airfield#aquarium#helipor,open area#natural light#clouds#man-made#natural#no horizon#sunny#far-away horizon#cold#ocea
D:/fivekdataset_big/input/train/a0045-20050320_081337__E6B1177.tif,44,forest/broadleaf#sky#rainforest#desert/vegetation#wheat_fiel,natural#natural light#open area#no horizon#trees#foliage#vegetation#leaves#hiking#campin
D:/fivekdataset_big/input/train/a0046-dgw_101.tif,45,embassy#street#bus_station/indoor#crosswalk#canal/urba,man-made#natural light#open area#no horizon#driving#asphalt#transporting#glass#vertical components#pavemen
D:/fivekdataset_big/input/train/a0047-07-11-18-at-00h05m40s-_MG_4882.tif,46,martial_arts_gym#recreation_room#basement#amusement_arcade#ice_skating_rink/outdoo,no horizon#enclosed area#man-made#indoor lighting#competing#sports#exercise#matte#gaming#playin
D:/fivekdataset_big/input/train/a0048-kme_066.tif,47,jail_cell#barndoor#doorway/outdoor#basement#bank_vaul,man-made#no horizon#aged#natural light#vertical components#brick#enclosed area#open area#dry#concret
D:/fivekdataset_big/input/train/a0049-_I2E5952.tif,48,ice_skating_rink/outdoor#ballroom#ice_skating_rink/indoor#arena/hockey#martial_arts_gy,no horizon#man-made#cloth#competing#sports#natural light#enclosed area#exercise#open area#col
D:/fivekdataset_big/input/train/a0050-_DSC0006.tif,49,volcano#mountain#valley#sky#canyo,open area#natural#natural light#far-away horizon#clouds#boating#climbing#moist#swimming#rugged scen
D:/fivekdataset_big/input/train/a0051-WP_CRW_3461.tif,50,sandbox#slum#playground#ball_pit#catacom,no horizon#cloth#enclosed area#natural light#man-made#dry#playing#stressful#training#plasti
D:/fivekdataset_big/input/train/a0052-dgw_131.tif,51,jail_cell#downtown#parking_garage/outdoor#construction_site#fire_escap,man-made#no horizon#vertical components#natural light#metal#glass#enclosed area#open area#driving#asphal
D:/fivekdataset_big/input/train/a0053-kme_103.tif,52,oast_house#church/outdoor#mosque/outdoor#tower#sk,open area#natural light#man-made#clouds#vegetation#sunny#grass#natural#vertical components#foliag
D:/fivekdataset_big/input/train/a0054-kme_097.tif,53,jail_cell#pub/indoor#basement#discotheque#boxing_rin,no horizon#enclosed area#cloth#man-made#indoor lighting#socializing#congregating#stressful#working#trainin
D:/fivekdataset_big/input/train/a0055-050729_194412__I2E5282.tif,54,operating_room#hospital_room#nursing_home#chemistry_lab#veterinarians_offic,no horizon#enclosed area#cloth#man-made#working#indoor lighting#stressful#medical activity#training#steril
D:/fivekdataset_big/input/train/a0056-LSYD4O0815.tif,55,catacomb#desert/sand#rainforest#forest/broadleaf#cemeter,no horizon#natural#natural light#enclosed area#vegetation#hiking#dry#foliage#leaves#open are
D:/fivekdataset_big/input/train/a0057-kme_406.tif,56,stage/outdoor#embassy#courthouse#museum/outdoor#volleyball_court/outdoo,man-made#natural light#open area#no horizon#cloth#vertical components#sunny#grass#clouds#competin
D:/fivekdataset_big/input/train/a0058-NKIM_MG_6121.tif,57,windmill#water_tower#hangar/outdoor#tower#elevator_shaf,man-made#open area#natural light#no horizon#metal#vertical components#indoor lighting#transporting#clouds#age
D:/fivekdataset_big/input/train/a0059-JI2E5556.tif,58,jail_cell#airplane_cabin#beauty_salon#dressing_room#conference_cente,no horizon#enclosed area#man-made#cloth#indoor lighting#matte#glossy#dry#stressful#medical activit
D:/fivekdataset_big/input/train/a0060-jmac_DSC3171.tif,59,elevator_shaft#jail_cell#catacomb#embassy#construction_sit,no horizon#man-made#enclosed area#indoor lighting#dry#stressful#aged#working#cloth#scar
D:/fivekdataset_big/input/train/a0061-jn_20080802_0003.tif,60,throne_room#movie_theater/indoor#catacomb#burial_chamber#bow_window/indoo,no horizon#man-made#enclosed area#indoor lighting#praying#wood#scary#symmetrical#vertical components#clot
D:/fivekdataset_big/input/train/a0062-LSCRW_0035.tif,61,sky#volcano#desert/sand#mountain#valle,natural#open area#natural light#far-away horizon#rugged scene#clouds#hiking#climbing#dry#campin
D:/fivekdataset_big/input/train/a0063-IMG_4185.tif,62,catacomb#florist_shop/indoor#discotheque#stage/indoor#ballroo,no horizon#enclosed area#cloth#natural#scary#indoor lighting#stressful#cold#ice#workin
D:/fivekdataset_big/input/train/a0064-_DSC7889.tif,63,basement#jail_cell#restaurant_kitchen#pub/indoor#beer_hal,enclosed area#no horizon#man-made#indoor lighting#working#cloth#wood#cluttered space#aged#socializin
D:/fivekdataset_big/input/train/a0065-_DSC6405.tif,64,rainforest#forest/broadleaf#catacomb#aquarium#bamboo_fores,no horizon#vegetation#natural#natural light#foliage#leaves#trees#open area#hiking#campin
D:/fivekdataset_big/input/train/a0066-Ja_Pe-65.tif,65,tree_farm#corn_field#vineyard#catacomb#desert/san,no horizon#natural light#natural#open area#foliage#vegetation#trees#leaves#cloth#dr
D:/fivekdataset_big/input/train/a0067-kme_213.tif,66,restaurant_kitchen#sushi_bar#butchers_shop#bakery/shop#delicatesse,no horizon#man-made#enclosed area#cloth#working#indoor lighting#natural light#eating#metal#woo
D:/fivekdataset_big/input/train/a0068-LS051026_day_1_arive53.tif,67,water_tower#tree_house#windmill#lighthouse#forest/broadlea,natural light#open area#trees#man-made#foliage#leaves#no horizon#vegetation#vertical components#natura
D:/fivekdataset_big/input/train/a0069-kme_056.tif,68,corral#stable#farm#pasture#arena/rode,natural light#man-made#open area#sunny#far-away horizon#dry#clouds#railing#metal#age
D:/fivekdataset_big/input/train/a0070-IMG_4327.tif,69,downtown#embassy#parking_garage/outdoor#skyscraper#stree,man-made#natural light#open area#no horizon#driving#asphalt#vertical components#biking#pavement#transportin
D:/fivekdataset_big/input/train/a0071-kme_490.tif,70,sky#boardwalk#catacomb#ice_shelf#snowfiel,open area#natural light#far-away horizon#natural#man-made#clouds#no horizon#trees#vertical components#ocea
D:/fivekdataset_big/input/train/a0072-IMG_5048.tif,71,elevator_shaft#jail_cell#attic#bow_window/indoor#phone_boot,man-made#no horizon#enclosed area#natural light#glass#vertical components#indoor lighting#metal#soothing#woo
D:/fivekdataset_big/input/train/a0073-IMG_2593.tif,72,server_room#phone_booth#subway_station/platform#elevator_lobby#jail_cel,man-made#no horizon#enclosed area#indoor lighting#glossy#glass#metal#matte#natural light#vertical component
D:/fivekdataset_big/input/train/a0074-WP_CRW_0343.tif,73,temple/asia#mausoleum#ticket_booth#pagoda#zen_garde,man-made#natural light#no horizon#open area#semi-enclosed area#touring#cloth#vertical components#dry#sunn
D:/fivekdataset_big/input/train/a0075-jn_20080814_New_York_City_042.tif,74,tree_farm#underwater/ocean_deep#junkyard#igloo#forest/broadlea,natural light#open area#no horizon#trees#foliage#vegetation#natural#leaves#man-made#campin
D:/fivekdataset_big/input/train/a0076-jmac_MG_5736.tif,75,rainforest#rice_paddy#forest/broadleaf#jail_cell#sk,natural light#open area#natural#vertical components#man-made#trees#vegetation#clouds#foliage#no horizo
D:/fivekdataset_big/input/train/a0077-20080627_at_14h31m24__MG_0714.tif,76,ice_shelf#mountain_snowy#sky#glacier#snowfiel,natural#open area#natural light#far-away horizon#cold#snow#clouds#rugged scene#hiking#climbin
D:/fivekdataset_big/input/train/a0078-IMG_0326.tif,77,catacomb#desert/sand#elevator_shaft#attic#stabl,no horizon#man-made#enclosed area#dry#indoor lighting#natural#sand#open area#warm#natural ligh
D:/fivekdataset_big/input/train/a0079-IMG_4099.tif,78,volcano#catacomb#veterinarians_office#pet_shop#kennel/outdoo,no horizon#natural#natural light#dry#open area#rugged scene#dirt#dirty#hiking#roc
D:/fivekdataset_big/input/train/a0080-kme_544.tif,79,jail_cell#elevator_shaft#burial_chamber#basement#alcov,no horizon#man-made#enclosed area#vertical components#metal#aged#natural light#dry#rusty#scar
D:/fivekdataset_big/input/train/a0081-kme_106.tif,80,campsite#mausoleum#lawn#ticket_booth#par,man-made#natural light#open area#grass#trees#foliage#no horizon#vegetation#sunny#leave
D:/fivekdataset_big/input/train/a0082-IMG_4578.tif,81,museum/outdoor#embassy#library/outdoor#mosque/outdoor#parking_garage/outdoo,man-made#open area#natural light#vertical components#sunny#clouds#no horizon#touring#boating#horizontal component
